trial,auc,w_exp026_attention_gpu,w_exp026_fttransformer_lite_gpu
222,0.9342037802197802,0.8341577463330404,0.1658422536669596
223,0.9338632087912089,0.915766919825284,0.08423308017471608
224,0.934091956043956,0.8664080909230685,0.13359190907693158
225,0.9346149890109889,0.6403606369353833,0.3596393630646168
226,0.9343376703296702,0.3439955894822919,0.6560044105177081
227,0.9345848791208792,0.6689408663082078,0.33105913369179213
228,0.9345599120879119,0.685863303526579,0.3141366964734212
229,0.9330145934065934,0.05225796648654302,0.9477420335134569
230,0.9333498461538462,0.10616799782756402,0.8938320021724361
231,0.9344029890109891,0.37105251663442856,0.6289474833655715
232,0.9337421098901098,0.9395972085901435,0.06040279140985668
233,0.9341377582417582,0.8544682568605291,0.14553174313947104
234,0.9342735824175824,0.8102859026081295,0.1897140973918706
235,0.9345702857142857,0.46631068437265216,0.5336893156273479
236,0.9346142417582418,0.5108349343269666,0.48916506567303353
237,0.9342416263736264,0.3082734570566827,0.6917265429433174
238,0.9346221978021978,0.518142702520689,0.48185729747931105
239,0.9343865054945053,0.3639227942319786,0.6360772057680214
240,0.9337543736263738,0.9371525898768821,0.06284741012311805
241,0.9346139780219781,0.5089535021710225,0.4910464978289774
242,0.933559868131868,0.1438534362079014,0.8561465637920985
243,0.9329149010989011,0.03793423816119305,0.9620657618388069
244,0.9337713406593405,0.9346071562915749,0.0653928437084251
245,0.932832043956044,0.02679572772087563,0.9732042722791244
246,0.9342417582417581,0.30808706877593245,0.6919129312240676
247,0.9342997802197801,0.32560239558560716,0.6743976044143928
248,0.9342519120879123,0.311739390267198,0.6882606097328019
